AC021016.8	USP37
ZRANB1	CNNM3
ST3GAL2	B3GNT1
B3GNT1	ST3GAL2
TGFB1	LTBP4
CDC16	IZUMO1
IZUMO1	CDC16
ITGB3BP	CRELD1
CRELD1	ITGB3BP
TEAD1	VGLL2
VGLL2	TEAD1
HOTAIR	CCDC59
GYPB	EIF2B5
EIF2B5	GYPB
EIF4A3	U2AF2
U2AF2	EIF4A3
YARS2	DDX28
DDX28	YARS2
RPL3	SF3B1
SF3B1	RPL3
SLC25A11	CAMKK2
CAMKK2	SLC25A11
BNIP3L	BCL2L1
STK11	MARK2
GSK3B	SF3B1
SF3B1	GSK3B
NEUROG3	TACR2
RPS3	RPL36
RPL36	RPS3
SLC16A3	TBCD
TBCD	SLC16A3
ARL6IP4	ARMC6
ARMC6	ARL6IP4
TOMM40	CLASRP
CLASRP	TOMM40
GRB2	POLD1
POLD1	GRB2
HOTAIR	LDB2
POLH	UBC
UBC	POLH
RAPGEF6	IQCJ-SCHIP1
IQCJ-SCHIP1	RAPGEF6
MRPS7	MRPS5
MRPS5	MRPS7
LGALS3BP	TUBA3C
TUBA3C	LGALS3BP
CUL3	RBX1
FDXR	THBS3
THBS3	FDXR
CHST14	EXD1
EXD1	CHST14
RNASEH2C	DRAP1
DRAP1	RNASEH2C
NEDD4	AP1G2
AP1G2	NEDD4
FOXK2	AHCYL2
AHCYL2	FOXK2
ZNF490	LZTS2
LZTS2	ZNF490
PECR	UBA5
UBA5	PECR
PRKCA	NOXA1
NOXA1	PRKCA
SDS	LDHAL6B
LDHAL6B	SDS
NR4A1	ESF1
ESF1	NR4A1
CTD-3214H19.4	FCER2
FCER2	CTD-3214H19.4
ABHD11	FKBP6
FKBP6	ABHD11
RIPK3	TIMM50
TIMM50	RIPK3
HMGCR	MVK
RP1-37C10.3	SDHB
PCIF1	SYS1
SYS1	PCIF1
P4HA2	GTSE1
GTSE1	P4HA2
KRT36	KRT76
KRT76	KRT36
AC135050.1	RP11-196G11.1
GSN	PPM1B
PPM1B	GSN
ESR1	GSK3B
GSK3B	ESR1
U2AF2	PCF11
PCF11	U2AF2
CAPZB	MYO1C
MYO1C	CAPZB
ATP2B2	GOLM1
GOLM1	ATP2B2
PPM1B	LRPPRC
DACH1	ZCCHC10
ZCCHC10	DACH1
APOD	PVRL2
PVRL2	APOD
AES	MYO15B
MYO15B	AES
ECT2	PRKCI
PRKCI	ECT2
PHC1	RNF4
RNF4	PHC1
CSNK1G2	SORT1
SORT1	CSNK1G2
EHMT1	LCOR
LCOR	EHMT1
ALDOA	TBX6
CDKN2B-AS1	VEGFA
TFCP2	CBX8
CBX8	TFCP2
SPATA2	PTGIS
PTGIS	SPATA2
WBP2	PRPSAP1
PRPSAP1	WBP2
NDUFB4	UQCRC2
UQCRC2	NDUFB4
FOSL2	BACH2
BACH2	FOSL2
LRAT	FGB
FGB	LRAT
ZFP36L2	SMC6
SMC6	ZFP36L2
TUBA3C	DYNLL1
DYNLL1	TUBA3C
ANXA5	TNIP3
TNIP3	ANXA5
ANK1	PLAT
PLAT	ANK1
SYNE1	CAPN1
SYF2	CWF19L1
CWF19L1	SYF2
SPATA25	ACOT8
ACOT8	SPATA25
PPP1R16B	KIAA1755
PTPN1	CLK1
TBC1D15	RAB21
RAB21	TBC1D15
GPS1	RBX1
DDX5	PIK3CA
PIK3CA	DDX5
PITPNM1	RAD9A
ATP2B2	FAR2
FAR2	ATP2B2
MBD1	MTUS1
MTUS1	MBD1
APC	ZNF43
ZNF43	APC
BOD1L1	MZT1
MZT1	BOD1L1
RP1-27K12.2	KLHL31
CRYAA	MIPEP
MIPEP	CRYAA
ITGB2	PTK2B
FEZF2	CADPS
CADPS	FEZF2
PITPNM2	ABCB9
GNA15	OPRD1
OPRD1	GNA15
PDK1	STXBP2
STXBP2	PDK1
GTF3C2	GTF3C3
GTF3C3	GTF3C2
RPS3A	DICER1
DICER1	RPS3A
ITGA1	GNPNAT1
GNPNAT1	ITGA1
MAP3K1	RPS27
RPS27	MAP3K1
SPATA25	TNNC2
TNNC2	SPATA25
SAMM50	KLHL7
KLHL7	SAMM50
RP11-169K16.9	ZBTB17
DDB1	BRAP
BRAP	DDB1
ITPR2	TRPC4
TRPC4	ITPR2
PRKAR1A	WNK1
WNK1	PRKAR1A
DBR1	CWF19L1
CWF19L1	DBR1
DEK	TFAP2A
PMM1	DESI1
RBM11	ZCCHC8
ZCCHC8	RBM11
NR4A1	BCL2L10
BCL2L10	NR4A1
RPL38	IPO8
IPO8	RPL38
ZMYM2	ARRDC1
ARRDC1	ZMYM2
MSX1	SP1
SP1	MSX1
MAN2A1	TMEM232
TMEM232	MAN2A1
MAP3K10	PPP1R13B
PPP1R13B	MAP3K10
ABCA1	LMO7
CSNK2A2	PLSCR4
PLSCR4	CSNK2A2
CD3EAP	NFKBIB
HMGB1	CTCF
CTCF	HMGB1
MCC	SYMPK
SYMPK	MCC
COL13A1	NID2
TGM2	GSTP1
SEL1L	SMPD1
SMPD1	SEL1L
ITGA3	TGM2
TGM2	ITGA3
CDKN2B-AS1	TMCO5A
AURKB	INCENP
GTSE1	CRTC2
CRTC2	GTSE1
TSPAN16	EPOR
SMARCA4	CBX5
CBX5	SMARCA4
EZH2	MAN2A1
