AC021016.8	USP37
PTPN11	ERBB2
CIR1	DCAF10
DCAF10	CIR1
ARHGAP21	PRTFDC1
PRTFDC1	ARHGAP21
BRD8	FAM53C
FAM53C	BRD8
SNAP25	VAMP3
VAMP3	SNAP25
PPP1CC	NUF2
NUF2	PPP1CC
PTPRN	DNAJB2
DNAJB2	PTPRN
TNFRSF1B	AADACL3
AADACL3	TNFRSF1B
UBE2K	UHRF2
UHRF2	UBE2K
DNAJC8	SRRT
SRRT	DNAJC8
GNAI3	MYH9
MYH9	GNAI3
HSPA4	DNMBP
DNMBP	HSPA4
NCK2	TTC28
TTC28	NCK2
AK4	NT5M
ABLIM1	NMT1
NMT1	ABLIM1
FKBP5	CDK11A
CDK11A	FKBP5
PXMP2	TRDN
TRDN	PXMP2
YWHAG	RAB11FIP5
RAC2	ELMO2
ELMO2	RAC2
ERBB2	SH2D1B
SH2D1B	ERBB2
SIPA1	BRD4
BRD4	SIPA1
SNRPN	TGS1
TGS1	SNRPN
AC108025.2	SOX11
PLK2	MPP3
POGZ	DTX2
DTX2	POGZ
MRPL46	MRPS28
MRPS28	MRPL46
PRDX1	PLK3
PLK3	PRDX1
PELO	RPL3
RPL3	PELO
LGMN	SOD1
SOD1	LGMN
ILF2	RELA
RELA	ILF2
LPL	PTPN4
ZSWIM3	DNTTIP1
BCL6	C4orf45
C4orf45	BCL6
SLC13A2	SCAF4
SCAF4	SLC13A2
PCDHGB4	ST7L
ST7L	PCDHGB4
COQ10B	RFTN2
RFTN2	COQ10B
C4orf51	ZNF827
AEN	GNPTAB
GNPTAB	AEN
RP11-377D9.3	GPRC5A
SNRPD3	PRPF6
PRPF6	SNRPD3
SUN2	FBXL4
FBXL4	SUN2
PTK2	APC
ITPR2	TRPC1
CASP8AP2	IFT43
CUL1	PIAS1
PIAS1	CUL1
SLC25A3	PSMD3
PSMD3	SLC25A3
MALAT1	BCL2
ITPR3	MYH9
MYH9	ITPR3
CHCHD6	SLC41A3
SLC41A3	CHCHD6
KLHL12	FGD2
FGD2	KLHL12
TRA2B	PUF60
PUF60	TRA2B
KHDRBS3	MARK4
MARK4	KHDRBS3
RABL2A	CEP19
CEP19	RABL2A
ABL1	SOS1
SOS1	ABL1
NBL1	PROP1
PROP1	NBL1
RPL3	FXR1
FXR1	RPL3
FAF2	INTS4
INTS4	FAF2
CDKN2AIP	FAM117B
FAM117B	CDKN2AIP
FLNB	ITGB1
ITGB1	FLNB
HUS1	RTF1
RTF1	HUS1
RPL3	SF3B1
SF3B1	RPL3
S100A3	RAB11FIP4
RAB11FIP4	S100A3
SPTBN1	CORO1C
CORO1C	SPTBN1
PDCD1	SLC25A15
SLC25A15	PDCD1
YWHAZ	FAM53C
FAM53C	YWHAZ
DLGAP4	TGIF2-C20orf24
TGIF2-C20orf24	DLGAP4
GSK3B	SF3B1
SF3B1	GSK3B
SLMAP	PRDM14
PRDM14	SLMAP
DBN1	CLINT1
CLINT1	DBN1
PHB2	PABPC1
PABPC1	PHB2
ARL6IP4	ARMC6
ARMC6	ARL6IP4
MDFI	SNX18
SNX18	MDFI
SRSF12	GABRR1
EIF2B1	PDIA4
PDIA4	EIF2B1
FBXO2	CBLN4
CBLN4	FBXO2
OPRD1	PRKCD
TNFRSF10B	TMEM214
TMEM214	TNFRSF10B
DDX6	DDX17
DDX17	DDX6
PCYT1A	SLC51A
CALCOCO1	EP300
SP3	INPPL1
PROP1	TBC1D21
TBC1D21	PROP1
B4GALT1	PTCH1
PTCH1	B4GALT1
ZBTB7B	ZBTB42
ZBTB42	ZBTB7B
TUG1	CASP9
GRB2	ARHGEF11
ARHGEF11	GRB2
MAD2L1	HMGXB4
HMGXB4	MAD2L1
HMGCR	MVK
TRAF1	RCOR3
RCOR3	TRAF1
GNAI2	PRKCE
RUVBL1	INO80
INO80	RUVBL1
FGF8	IFT172
IFT172	FGF8
GSN	PPM1B
PPM1B	GSN
MED16	MED13L
MED13L	MED16
ESR1	GSK3B
GSK3B	ESR1
MDFI	PTCHD2
AC093326.3	SNTG2
SMARCA2	MED21
MED21	SMARCA2
RP11-517H2.6	RNASET2
MYOC	PKLR
PKLR	MYOC
CAPZB	MYO1C
MYO1C	CAPZB
LRPPRC	PPM1B
PPM1B	LRPPRC
DACH1	ZCCHC10
ZCCHC10	DACH1
APOD	PVRL2
PVRL2	APOD
MCM5	TOM1
TOM1	MCM5
CSNK1G2	SORT1
SORT1	CSNK1G2
QARS	MAPRE1
MAPRE1	QARS
RPL23	LOXL3
LOXL3	RPL23
CDKN2B-AS1	VEGFA
EEF1A1	RPL5
RPL5	EEF1A1
KRT75	CDC37
CDC37	KRT75
HS6ST1	CHRNA9
CHRNA9	HS6ST1
RTN4R	NGFR
WBP2	PRPSAP1
PRPSAP1	WBP2
KCNA10	FAM63A
FAM63A	KCNA10
REL	RGS3
RGS3	REL
ARHGEF2	HCN3
HCN3	ARHGEF2
RPL5	RPS29
RPS29	RPL5
ZBTB43	CDKL3
CDKL3	ZBTB43
ZNF282	ZNF783
ZNF783	ZNF282
BACH2	FOSL2
PFKFB3	PRKCA
PRKCA	PFKFB3
SVOPL	DGKI
DGKI	SVOPL
EPB41	BCAM
BCAM	EPB41
GOLGA2	FAM161A
FAM161A	GOLGA2
ANXA5	TNIP3
TNIP3	ANXA5
STAT3	IRF1
LRP1	GPR182
GPR182	LRP1
RAD9A	DNAJC7
TOMM40	KLRF1
KLRF1	TOMM40
CD69	CADM4
CADM4	CD69
GAB2	AKT1
HSD17B4	OXCT1
OXCT1	HSD17B4
SYF2	CWF19L1
CWF19L1	SYF2
DHX38	PABPC1
PABPC1	DHX38
SPATA25	ACOT8
ACOT8	SPATA25
RARA	COPS2
PPP1R16B	KIAA1755
KIAA1755	PPP1R16B
PTPN1	CLK1
DDX5	PIK3CA
PIK3CA	DDX5
DBN1	ITPKA
ITPKA	DBN1
RP11-377D9.3	DDX47
PGD	APITD1
SRPK1	ARL6IP4
ARL6IP4	SRPK1
ATP2A3	IRS1
IRS1	ATP2A3
ITGB2	PTK2B
HSPB1	PRKACA
PRKACA	HSPB1
RPL37A	PABPC1
PABPC1	RPL37A
PITPNM2	ABCB9
GNA15	OPRD1
OPRD1	GNA15
NEAT1	DNMT1
YY1	ACTR5
GTF3C4	YTHDC1
YTHDC1	GTF3C4
PROP1	TCEA2
TCEA2	PROP1
ITGA1	GNPNAT1
GNPNAT1	ITGA1
SP4	AGR2
AGR2	SP4
C6orf132	TAF8
TAF8	C6orf132
RP11-169K16.9	ZBTB17
UBE2K	DZIP3
DZIP3	UBE2K
BCR	CBL
ILF2	MOV10
MOV10	ILF2
PARD6B	MPP5
CSPG4	TNK2
TNIK	CYCS
CYCS	TNIK
ZMYM2	ARRDC1
ARRDC1	ZMYM2
MAN2A1	TMEM232
YWHAZ	SF3B1
SF3B1	YWHAZ
ABCA1	LMO7
DAP3	RXFP4
RXFP4	DAP3
RNASEL	SLC15A1
SLC15A1	RNASEL
TULP4	GTF2H5
GTF2H5	TULP4
IFI30	TTC31
TTC31	IFI30
CXXC5	ATF7IP
ATF7IP	CXXC5
SORT1	TCIRG1
TCIRG1	SORT1
SYF2	THOC3
THOC3	SYF2
FAM117A	SPOP
SPOP	FAM117A
ACTB	RAB14
RAB14	ACTB
TGM2	GSTP1
HSD17B4	IKZF1
IKZF1	HSD17B4
CALML3	MYO6
MYO6	CALML3
AKT1	PPP2CA
PPP2CA	AKT1
PLK1	PTPN1
PTPN1	PLK1
HSF2	HSF2BP
NSMCE1	VPS4A
VPS4A	NSMCE1
PRPF3	SF3B2
SF3B2	PRPF3
RHOA	PAPSS1
PAPSS1	RHOA
HSPD1	RUVBL1
RUVBL1	HSPD1
THSD4	KRBA1
KRBA1	THSD4
EZH2	MAN2A1
MAN2A1	EZH2
ETFDH	C4orf45
C4orf45	ETFDH
NUP153	POM121C
POM121C	NUP153
HSF2BP	TNS4
TNS4	HSF2BP
RP11-798K3.2	SMAD3
KCNJ2	SDCBP
SDCBP	KCNJ2
AKR1B1	MCC
MCC	AKR1B1
DNMBP	PKD2L1
PKD2L1	DNMBP
EED	RRP9
RRP9	EED
TNFRSF1B	TNFRSF8
TNFRSF8	TNFRSF1B
CERKL	UBE2E3
UBE2E3	CERKL
LMO2	LZTS1
DDX47	GPRC5A
GPRC5A	DDX47
RET	GRB2
FXR1	SLAIN2
SLAIN2	FXR1
PPP6C	RELA
RELA	PPP6C
RPS9	SCYL2
SCYL2	RPS9
RP11-552F3.10	WBP2
HAP1	ATP6V0A1
ATP6V0A1	HAP1
CFTR	PRKACA
PRKACA	CFTR
ESR1	SMARCC2
SMARCC2	ESR1
FAT4	PRSS37
PRSS37	FAT4
POGZ	SPATA12
SPATA12	POGZ
PWWP2A	FABP6
ATP2A3	CYB5D2
CYB5D2	ATP2A3
RIT1	SMAD3
SMTNL2	GGT6
GGT6	SMTNL2
ATR	CHEK2
CHEK2	ATR
SNRPN	INSL6
INSL6	SNRPN
JMJD1C	RXRA
ZFYVE26	KRT27
KRT27	ZFYVE26
NEU4	RBPMS
RP11-497G19.3	FBXW8
CCBL1	ENDOG
SFPQ	SF3B4
SF3B4	SFPQ
RPS13	PIAS2
PIAS2	RPS13
CSNK1E	RBX1
RBX1	CSNK1E
CHI3L2	OVGP1
OVGP1	CHI3L2
HERC2	USP20
USP20	HERC2
NOTCH1	WDR12
WDR12	NOTCH1
OPRL1	PRPF6
KRT3	KRT75
KRT75	KRT3
RGS4	GNAI2
LRP1	ERAL1
ERAL1	LRP1
MED4	CCDC146
CCDC146	MED4
GLG1	RPS13
RPS13	GLG1
BCAT1	GTF2A1
GTF2A1	BCAT1
ARRB1	RPS8
RPS8	ARRB1
PITPNM3	WSCD1
WSCD1	PITPNM3
ELMO1	DOCK5
DOCK5	ELMO1
NR1H2	VDR
IRF2	PRKACA
