PDE7B	ADCY5
CBLB	SORBS2
SORBS2	CBLB
RET	STAT3
RPL38	DICER1
DICER1	RPL38
ADCY5	PDE10A
PDE10A	ADCY5
RPN1	DDX18
DDX18	RPN1
RP11-307L3.4	GLDC
CDH13	VMP1
VMP1	CDH13
PNO1	KLF6
TRIM28	ZNF707
ZNF707	TRIM28
IFT88	ZWINT
ZWINT	IFT88
IRAK2	IL17RE
IL17RE	IRAK2
HIF1AN	SEMA4G
SEMA4G	HIF1AN
ANO3	BBOX1
CSNK1D	FAM83H
FAM83H	CSNK1D
BLM	POU3F3
POU3F3	BLM
FNTB	GLYR1
GLYR1	FNTB
YWHAQ	CGN
CGN	YWHAQ
CD83	MCUR1
ICAM5	PDE4A
PDE4A	ICAM5
PNLIPRP3	ATRNL1
ATRNL1	PNLIPRP3
STMN3	RTEL1
TNFSF11	NFKB1
METAP2	MRPL35
MRPL35	METAP2
YWHAZ	NUFIP1
NUFIP1	YWHAZ
GFOD1	RALGAPA2
RALGAPA2	GFOD1
CRMP1	GNB2L1
GNB2L1	CRMP1
SYK	PTK2
DAPK1	CTSL
RPF1	CEP78
CEP78	RPF1
ATP2B1	BMPR1A
BMPR1A	ATP2B1
CTA-384D8.35	ARSA
YWHAZ	EIF3F
EIF3F	YWHAZ
TNFSF8	SMOC1
SMOC1	TNFSF8
FASLG	SRGAP3
SRGAP3	FASLG
TFAP4	FOXK2
NCK2	SPRY2
SPRY2	NCK2
PROX1	RPS6KC1
RPS6KC1	PROX1
PRELP	COL14A1
COL14A1	PRELP
INPP5D	PLCL1
PLCL1	INPP5D
SF1	NCBP2
NCBP2	SF1
ARHGEF7	CERS2
CERS2	ARHGEF7
FLI1	ETS1
ETS1	FLI1
SMAD3	AAGAB
SMAD1	ZNF521
NR5A2	NCOA3
NCOA3	NR5A2
KIT	STAT1
YWHAZ	YWHAQ
YWHAQ	YWHAZ
CLDN3	TJP1
TJP1	CLDN3
Y_RNA	ERGIC1
NLGN2	WNK1
WNK1	NLGN2
SLC19A3	TM4SF20
TM4SF20	SLC19A3
CDKN2B-AS1	FAM181B
CIITA	TVP23A
TVP23A	CIITA
TP63	KLF5
KLF5	TP63
ESRRG	SUMO1P1
SUMO1P1	ESRRG
CDKN2B-AS1	FLRT2
SLC4A4	STK39
STK39	SLC4A4
PPL	CCNYL1
CCNYL1	PPL
MOGAT1	ACSL3
MYO1C	DSTN
DSTN	MYO1C
CHRAC1	IGF1R
IGF1R	CHRAC1
UBXN11	AIM1L
FAM49B	ASAP1
RP11-561B11.3	CFL2
ADCY7	PDE4D
PDE4D	ADCY7
SIX2	ANKHD1
ANKHD1	SIX2
FADS1	FADS2
FOSL2	CREB5
CREB5	FOSL2
ETS1	PTHLH
PTHLH	ETS1
SMAD3	GLI3
MYH9	MYLK
MYLK	MYH9
FLNB	RAP1A
RAP1A	FLNB
NFKB1	UBE2D3
UBE2D3	NFKB1
ANK3	LZTS1
LZTS1	ANK3
RPS6	RPS16
RPS16	RPS6
CDH2	CDH4
CDH4	CDH2
FDPS	PMVK
PMVK	FDPS
CITED2	CITED4
CITED4	CITED2
ACTN4	TMOD3
TMOD3	ACTN4
B3GALNT2	LYST
LYST	B3GALNT2
TCF4	NCK2
NCK2	TCF4
RPS6KB1	EIF3F
EIF3F	RPS6KB1
STAC	DCLK3
DCLK3	STAC
snoU13	KIAA1217
BIN1	PLD1
PLD1	BIN1
ZDHHC3	SMAD1
VMP1	HEATR6
TMEM181	TULP4
TULP4	TMEM181
IGF1R	PTK2
EPS15	MYH9
MYH9	EPS15
NCKAP5	GPR39
GPR39	NCKAP5
CDKN2C	FAF1
FAF1	CDKN2C
CBLB	SPRY2
CDKN2B-AS1	KIAA0040
ICAM3	TMEM192
TMEM192	ICAM3
PAPOLG	REL
REL	PAPOLG
KRAS	METAP2
METAP2	KRAS
PXMP4	CBFA2T2
CBFA2T2	PXMP4
STAT5B	ETS2
ANO2	CD9
CD9	ANO2
PRKG1	SRF
SRF	PRKG1
MRPL51	LPAR5
LPAR5	MRPL51
CDKL3	TCF7
TCF7	CDKL3
RGS6	CCDC85B
CCDC85B	RGS6
WRN	CDKN2A
CPE	TMEM192
TMEM192	CPE
DCBLD2	COL8A1
COL8A1	DCBLD2
Y_RNA	CAP1
PTEN	TRIM24
TRIM24	PTEN
UBE2D3	RNF114
RNF114	UBE2D3
PAFAH1B1	MAP1B
MCMBP	RHPN1
RHPN1	MCMBP
NCK1	PTPN4
PTPN4	NCK1
DLG1	ERBB4
ERBB4	DLG1
KRAS	NAV3
NAV3	KRAS
TPD52L1	YWHAZ
YWHAZ	TPD52L1
CBL	MYO1E
MYO1E	CBL
SQSTM1	NSUN4
NSUN4	SQSTM1
PRKACB	RPF1
RPF1	PRKACB
ALDH3A2	HOOK2
HOOK2	ALDH3A2
KRAS	TVP23A
TVP23A	KRAS
SGK1	SLC1A3
SLC1A3	SGK1
WT1	IPO8
IPO8	WT1
AP1M1	TNIP1
TNIP1	AP1M1
AC007040.11	ATP6V1B1
ATP6V1B1	AC007040.11
BACH1	NBN
NBN	BACH1
EIF3F	IMMT
IMMT	EIF3F
ITPR1	RYR2
ANK1	SLC4A3
HSPD1	KRAS
LMO2	ZFP64
ZFP64	LMO2
AC079610.1	IKZF2
UQCRH	TUSC3
TUSC3	UQCRH
AK5	ST6GALNAC3
ST6GALNAC3	AK5
AOX1	ALDH1A2
ALDH1A2	AOX1
SMNDC1	U2SURP
U2SURP	SMNDC1
MYH9	CGN
CGN	MYH9
GRHL1	TAF1B
PRKCE	PTGER4
PTGER4	PRKCE
MPPED2	IKZF1
IKZF1	MPPED2
CDKN2B-AS1	KCNK2
ACTB	RAB2A
RAB2A	ACTB
RPS6	POLR1A
POLR1A	RPS6
HSBP1	CDH13
CDH13	HSBP1
COMMD10	COMMD7
COMMD7	COMMD10
APC	SCRIB
SCRIB	APC
ZC3HAV1	DGKI
DGKI	ZC3HAV1
MPPED2	HOOK2
HOOK2	MPPED2
RP11-74C1.4	CELF3
ALDH1A2	UEVLD
UEVLD	ALDH1A2
MZT1	PAFAH1B1
PAFAH1B1	MZT1
CEP78	LZTS2
LZTS2	CEP78
FBXW11	GLI2
SMPD3	SETDB1
CTA-384D8.35	NCAPH2
BIN1	SH3GL2
ZNF638	CCDC85B
NCBP2	LZTS2
LZTS2	NCBP2
NANOS1	DLGAP2
DLGAP2	NANOS1
JUND	IL12RB1
IL12RB1	JUND
KRAS	SLC12A7
SLC12A7	KRAS
EXT1	PTCH1
PTCH1	EXT1
IL2RA	PRKCB
PRKCB	IL2RA
TTC39B	CCDC171
CCDC171	TTC39B
VAPA	CKAP4
CKAP4	VAPA
ALX4	CD82
CD82	ALX4
LYN	FGFR2
UBE2H	RNF114
RNF114	UBE2H
ADD3	MYH9
MYH9	ADD3
RP11-61O1.1	VRK1
FAM63B	DNAJC1
DNAJC1	FAM63B
TP63	GNA12
GNA12	TP63
DDX18	PABPC1
PABPC1	DDX18
CD9	KIT
SMAD3	SLC39A10
SLC39A10	SMAD3
YWHAZ	PANK2
PANK2	YWHAZ
CDKN2B-AS1	LZTS1
PCNA	EPPK1
EPPK1	PCNA
PIBF1	CCDC138
CCDC138	PIBF1
TRIM68	HBE1
HBE1	TRIM68
IL1R1	IL18RAP
IL18RAP	IL1R1
CAND1	IRAK3
IRAK3	CAND1
Y_RNA	SCFD1
CCND1	RUNX1
WWP1	DIDO1
DIDO1	WWP1
REL	HIF1AN
HIF1AN	REL
ST3GAL1	SLC30A7
